Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,type,gene_number,db
Methylated Histone Binding (GO:0035064),14/71,0.04293886152287289,2.7372269796978737,17.285148086980083,KDM5A;CBX5;FMR1;ZMYND8;NCAPG2;CBX1;MSL3;CDYL;LRWD1;JMJD7;ING4;ZZZ3;MTF2;BPTF,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Microtubule Minus-End Binding (GO:0051011),5/12,0.04293886152287289,7.938528138528138,49.90237797073143,CAMSAP3;MACF1;TUBGCP2;TUBGCP5;TUBGCP4,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone Demethylase Activity (GO:0032452),8/29,0.04293886152287289,4.2383554514702055,26.526644710207705,KDM5A;KDM5C;KDM4B;KDM3B;KDM4C;KDM2B;KDM6A;JMJD6,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Ubiquitin Binding (GO:0043130),15/80,0.04649542163313076,2.572232645403377,15.815021151852772,TOP2A;USPL1;TSG101;USP16;USP33;FAF2;SIRT2;RNFT1;SHARPIN;MDM2;PLAA;MARCHF7;RBCK1;RNF185;BIRC2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Kinase Binding (GO:0019900),56/460,0.04827930331036149,1.5552665960779943,9.457360544670658,ATF2;USP37;TFRC;ILK;FOXM1;IKBKB;UXT;EIF4ENIF1;PPP1CC;CHEK2;SUFU;TRIM68;SPG11;TNS2;PARP6;FBXW5;PPP1R12A;BORA;STRADA;ADAM10;VRK1;TRAF2;ACSL3;CDC25C;ATG13;PRKAB1;LIME1;TIAM1;ANKRA2;CACUL1;LLGL1;LRRC14;BECN1;CAB39;HIF1A;RACGAP1;IRAK1;PDCD10;HSF1;TBC1D14;RFFL;MAP2K6;NEK9;TCF7L2;STK11IP;TPRKB;NBEAL1;PTPN11;PTK2;USF1;MAVS;TBL2;DLG3;CENPJ;MAP3K12;RAD9A,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H3K14 Acetyltransferase Activity (GO:0036408),4/8,0.04970131003820343,11.109024833434281,66.59498919862575,ING4;BRPF3;JADE1;KAT7,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H4K16 Acetyltransferase Activity (GO:0046972),4/8,0.04970131003820343,11.109024833434281,66.59498919862575,ING4;JADE1;MSL3;KAT7,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
DNA Repair (GO:0006281),64/291,1.1381840053177032e-9,3.2106590762466185,92.52303628717688,MUS81;SMARCAL1;DCLRE1A;MPG;FMR1;NUDT1;BRCA2;ENDOV;CHEK2;UIMC1;POLI;KMT5B;POLE;SLC30A9;PARP2;KMT5C;USP3;ACTR5;ATRX;RECQL;CSNK1E;REXO4;DDB1;FANCD2;MSH3;TIMELESS;RNASEH2A;TEX264;ABRAXAS1;FAAP24;PDS5B;PRIMPOL;MTA1;NTHL1;NSD2;PMS2;ASCC3;PMS1;MUTYH;ZRANB3;UVRAG;CENPX;FANCM;UBE2B;MGMT;FANCL;XRCC3;HUWE1;FANCA;FANCC;FANCE;APTX;FANCG;TICRR;SETX;RAD52;RAD50;TDP2;ERCC2;PWWP3A;ERCC8;MMS19;RAD18;RAD9A,Cd2bp2,rmats,1655,GO_Biological_Process_2023
DNA Metabolic Process (GO:0006259),59/288,1.0419956296720211e-7,2.9244618095456985,69.03905055115682,TOP2A;MUS81;SMARCAL1;FMR1;NUDT1;ENDOV;RUVBL2;SMARCAD1;POLI;KMT5B;NFRKB;POLE;POLG;TOP3B;PARP2;KMT5C;USP3;ACTR5;ATRX;RECQL;REV1;CSNK1E;TERF1;TERF2;REXO4;DDB1;MSH3;TIMELESS;RBMS1;INO80E;RNASEH2A;PDS5B;TYMS;ORC5;TFPT;NTHL1;CBS;NT5M;MUTYH;CTC1;ZRANB3;UVRAG;TCF7L2;UBE2B;MGMT;FANCL;XRCC3;FANCA;DONSON;FANCC;LRWD1;FANCG;TICRR;RAD52;RAD50;PWWP3A;MMS19;RAD18;RAD9A,Cd2bp2,rmats,1655,GO_Biological_Process_2023
Chromatin Organization (GO:0006325),53/268,2.452331392293138e-6,2.7897976366750865,55.91727066674617,KDM5A;SUV39H2;KDM5C;HDAC10;CHD6;EHMT1;ING4;M1AP;RUVBL2;SMARCAD1;KAT7;HMGN2;NFRKB;KDM6A;PBRM1;KDM2B;DDX11;ACTR5;ATRX;ARID1A;ARID1B;HCFC1;MTF2;WAC;HDAC5;INO80E;HDAC3;IWS1;CECR2;TFPT;HIRIP3;MTA1;MIER1;PCGF1;BRD9;SUDS3;MTA3;BPTF;CHTOP;KDM4B;PHC1;CBX5;KDM4C;PCGF2;CBX1;LRWD1;NAP1L4;TADA2A;ZZZ3;PWWP3A;HNRNPC;BCOR;EZH2,Cd2bp2,rmats,1655,GO_Biological_Process_2023
