ko_symbol,event,se_deg_overlapped
Strap,SE,Tcf7l2
Strap,SE,Kdm2a
Tra2b,SE,Nbeal1
Tra2b,SE,Rnpep
Tra2b,SE,Rexo4
Tra2b,SE,Tpd52l2
Tra2b,SE,Nnat
Tra2b,SE,Pex2
Tra2b,SE,Efna3
Tra2b,SE,Necap2
Tra2b,SE,Map7d1
Tra2b,SE,Hsdl2
Tra2b,SE,Uba6
Tra2b,SE,Rbm47
Tra2b,SE,Bid
Tra2b,SE,Sgce
Tra2b,SE,Ypel3
Tra2b,SE,Meis3
Tra2b,SE,Zc3h10
Tra2b,SE,Mknk2
Tra2b,SE,Ufsp2
Tra2b,SE,Cln8
Tra2b,SE,4921524J17Rik
Tra2b,SE,Mbtps1
Tra2b,SE,Irx3
Tra2b,SE,Cars2
Tra2b,SE,Nae1
Tra2b,SE,Plpp5
Tra2b,SE,Gse1
Tra2b,SE,Mthfsd
Tra2b,SE,Adgrl1
Tra2b,SE,Rad23a
Tra2b,SE,Sucla2
Tra2b,SE,Pbrm1
Tra2b,SE,Pkm
Tra2b,SE,Mapk9
Tra2b,SE,Aspscr1
Tra2b,SE,Nnt
Tra2b,SE,Ubqln1
Tra2b,SE,Ifrd1
Tra2b,SE,Tedc1
Tra2b,SE,Gtpbp1
Tra2b,SE,Tra2b
Tra2b,SE,Tmem63b
Tra2b,SE,Ndfip1
Tra2b,SE,Osbpl1a
Tra2b,SE,Fgf8
Tra2b,SE,Stx3
Trim71,SE,Myef2
Trim71,SE,Miip
Trim71,SE,Itgb3bp
Trim71,SE,Gak
Trim71,SE,Abraxas1
Trim71,SE,Uba3
Trim71,SE,Zfp330
Trim71,SE,Hpf1
Trim71,SE,Znrf1
Trim71,SE,Coq9
Trim71,SE,Setd6
Trim71,SE,Emc8
Trim71,SE,Mthfsd
Trim71,SE,Syce2
Trim71,SE,Rcbtb2
Trim71,SE,Rbm7
Trim71,SE,Zdhhc3
Trim71,SE,Slc38a10
Trim71,SE,Cep95
Trim71,SE,Mrps23
Trim71,SE,Ggps1
Trim71,SE,Nol10
Trim71,SE,Pxdn
Trim71,SE,Ptk2
Trim71,SE,Fam91a1
Trim71,SE,Cuta
Trim71,SE,Cemip2
Ubr5,SE,Smap1
Ubr5,SE,Kctd3
Ubr5,SE,Pbx1
Ubr5,SE,Tyro3
Ubr5,SE,Ndor1
Ubr5,SE,Snhg17
Ubr5,SE,Magt1
Ubr5,SE,Kif4
Ubr5,SE,Tmem234
Ubr5,SE,Hnrnpdl
Ubr5,SE,Mpv17
Ubr5,SE,Phc1
Ubr5,SE,Plxna1
Ubr5,SE,Setd5
Ubr5,SE,Fbxl19
Ubr5,SE,C2cd3
Ubr5,SE,Mdm2
Ubr5,SE,4921524J17Rik
Ubr5,SE,Insr
Ubr5,SE,Mcoln1
Ubr5,SE,Piezo1
Ubr5,SE,Slain1
Ubr5,SE,Hmbox1
Ubr5,SE,Dlg5
Ubr5,SE,Acin1
Ubr5,SE,Uaca
Ubr5,SE,Pcsk7
Ubr5,SE,Taf15
Ubr5,SE,Bptf
Ubr5,SE,Igf2bp1
Ubr5,SE,Fancm
Ubr5,SE,Snx13
Ubr5,SE,Ypel1
Ubr5,SE,Ddx11
Ubr5,SE,Gnptg
Ubr5,SE,Eml4
Ubr5,SE,Rgl2
Ubr5,SE,Srfbp1
Ubr5,SE,Ganab
Wt1,SE,Clasp1
Wt1,SE,Jmjd7
Wt1,SE,Src
Wt1,SE,Cdin1
Wt1,SE,Egfl7
Wt1,SE,Surf1
Wt1,SE,Dolpp1
Wt1,SE,Prps2
Wt1,SE,Efnb1
Wt1,SE,Tmem234
Wt1,SE,Dnajc8
Wt1,SE,Hnrnpdl
Wt1,SE,Sfswap
Wt1,SE,Recql
Wt1,SE,Lrig1
Wt1,SE,Rhno1
Wt1,SE,Josd2
Wt1,SE,Fbxl19
Wt1,SE,Cog7
Wt1,SE,Tmem80
Wt1,SE,Meis3
Wt1,SE,Stk11
Wt1,SE,Frs2
Wt1,SE,Znrf1
Wt1,SE,Mcoln1
Wt1,SE,Mthfsd
Wt1,SE,Prkcd
Wt1,SE,Prxl2a
Wt1,SE,Flnb
Wt1,SE,Slc35f2
Wt1,SE,Uaca
Wt1,SE,Kif23
Wt1,SE,Oxsr1
Wt1,SE,Helz
Wt1,SE,Mettl16
Wt1,SE,Prkar2b
Wt1,SE,Rin3
Wt1,SE,Dnmt3a
Wt1,SE,Mtdh
Wt1,SE,Azin1
Wt1,SE,Nr4a1
Wt1,SE,Ltn1
Wt1,SE,Fam234a
Wt1,SE,Tmx3
Wt1,SE,Uhrf2
Wt1,SE,Dnajc4
Ybx1,SE,Dnttip1
Ybx1,SE,Slc2a8
Ybx1,SE,Pdcl
Ybx1,SE,Maco1
Ybx1,SE,Ybx1
Ybx1,SE,Ube2j1
Ybx1,SE,Cdk11b
Ybx1,SE,Rnf4
Ybx1,SE,Tmed5
Ybx1,SE,Hnrnpdl
Ybx1,SE,Phc1
Ybx1,SE,Setd5
Ybx1,SE,Fbxo17
Ybx1,SE,Usf2
Ybx1,SE,E2f8
Ybx1,SE,Ptdss2
Ybx1,SE,Prdm4
Ybx1,SE,Krr1
Ybx1,SE,Scamp4
Ybx1,SE,Ctcf
Ybx1,SE,Tfdp1
Ybx1,SE,Hpf1
Ybx1,SE,Irx3
Ybx1,SE,Tm2d2
Ybx1,SE,Rbm34
Ybx1,SE,Ssbp4
Ybx1,SE,Rad23a
Ybx1,SE,Pibf1
Ybx1,SE,Slc7a7
Ybx1,SE,Dlg5
Ybx1,SE,Scamp2
Ybx1,SE,Smarcc1
Ybx1,SE,Cadm1
Ybx1,SE,Clasp2
Ybx1,SE,Grb7
Ybx1,SE,Nbr1
Ybx1,SE,Suz12
Ybx1,SE,Rps6kb1
Ybx1,SE,Zmiz2
Ybx1,SE,Dhrs13
Ybx1,SE,Gemin2
Ybx1,SE,Strn3
Ybx1,SE,Rbm25
Ybx1,SE,Arid1b
Ybx1,SE,Rpl10a
Ybx1,SE,Gm20517
Ybx1,SE,Dennd10
Ybx1,SE,Fgf8
Ybx1,SE,Cdc37l1
