ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Chromosome Organization (GO:0033044),6/43,0.0012839701578532534,11.824024024024023,124.84365208977317,SLF1;RUVBL2;ACTR5;NSMCE2;SMC5;TERF2,276
Cd2bp2,SE,GO_Biological_Process_2023,SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),6/43,0.0012839701578532534,11.824024024024023,124.84365208977317,FBXW5;FBXW11;FBXO17;BTRC;FBXL5;FBXL12,276
Cd2bp2,SE,GO_Biological_Process_2023,DNA Damage Response (GO:0006974),17/384,0.0012839701578532534,3.461952805277056,36.46688932749262,ATF2;UVRAG;SLF1;FANCL;FMR1;METTL3;XRCC3;SMC5;FANCC;PDS5B;SPIDR;FANCG;BCLAF1;STK11;RAD50;MSH3;ERCC8,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of DNA Repair (GO:0045739),8/89,0.0014986995467890863,7.23899023401511,74.93497565577755,PBRM1;SLF1;RUVBL2;ACTR5;UIMC1;FOXM1;ARID1B;SPIDR,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),33/1127,0.0017240672893442327,2.3126142595978063,23.553564154019085,ATF2;JADE1;RBPJ;CIAO3;UXT;MTA1;PDCD10;RUVBL2;MIER1;IGF2BP1;PCGF1;KAT7;CCNL2;KAT14;BPTF;KDM6A;NCOA2;BRPF3;NFYC;ACTR5;DTNBP1;MSL3;PRKAB1;TERF2;VEGFA;MSL1;ZZZ3;TADA2A;KANSL1;MTF2;TADA3;MDM2;EZH2,276
Cd2bp2,SE,GO_Molecular_Function_2023,DNA Binding (GO:0003677),29/846,0.001935521293119317,2.71707491117399,32.4265336795783,TSG101;GTF3C4;FMR1;SMC5;PDS5B;RBPJ;BCLAF1;RUVBL2;SNAPC4;IGF2BP1;PMS2;POLE;PMS1;BPTF;KDM6A;CENPX;KDM2B;NFYC;DNMT3A;MSL3;TERF1;APTX;FANCG;MAU2;RAD50;MSH3;MTF2;ERCC2;EZH2,276
Cd2bp2,SE,GO_Cellular_Component_2023,RNA N6-methyladenosine Methyltransferase Complex (GO:0036396),3/8,0.002083707934783065,43.33846153846154,385.1095177780551,METTL14;METTL3;VIRMA,276
Cd2bp2,SE,GO_Cellular_Component_2023,Smc5-Smc6 Complex (GO:0030915),3/8,0.002083707934783065,43.33846153846154,385.1095177780551,SLF1;NSMCE2;SMC5,276
Cd2bp2,SE,GO_Cellular_Component_2023,P-body (GO:0000932),7/83,0.002118034870026898,6.727450596752103,59.236634410732265,PAN2;LSM6;CNOT2;IGF2BP1;EIF4E2;EDC3;LSM2,276
Cd2bp2,SE,GO_Cellular_Component_2023,SAGA-type Complex (GO:0070461),5/38,0.0021721598004992527,11.009169182600917,95.76039110660732,TADA2A;ZZZ3;TADA3;KAT14;TAF2,276
Cd2bp2,SE,GO_Cellular_Component_2023,Condensed Chromosome (GO:0000793),6/60,0.0021721598004992527,8.094650205761317,70.0095920628111,SLF1;RAD50;FANCD2;NCAPG2;NSMCE2;SMC5,276
