Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
Interstrand Cross-Link Repair (GO:0036297),9/36,0.037387276074976175,5.263526773198766,44.62337865198704,DCLRE1A;CENPX;FANCM;FANCL;FANCD2;XRCC3;FANCC;FANCE;FANCG,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Positive Regulation Of Translation (GO:0045727),17/108,0.037387276074976175,2.9597472806617597,24.820138245759203,CDC123;USP16;YTHDF2;YTHDF3;POLDIP3;FMR1;METTL3;RMND1;CIRBP;MPV17L2;YBX3;RCC1L;METTL14;PKM;RPS6KB2;IGF2BP1;EIF4G3,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Protein Ubiquitination (GO:0016567),45/434,0.037387276074976175,1.8473881703480581,15.381482656206998,ANAPC16;RNF14;UBA6;PELI2;MYCBP2;UBE3A;ARRB2;AMBRA1;KLHL13;UBE2J2;RNFT1;HERC2;TNKS2;ZSWIM8;TRIM68;MARCHF8;BTRC;RNF111;ATG3;HACE1;FBXW5;FANCL;FBXW11;SMURF1;HUWE1;WWP1;FANCC;FANCE;FANCG;CHFR;RNF146;UBE2W;ITCH;MDM2;ERCC8;TRIM37;RBCK1;FBXL5;RNF185;UBE2K;DZIP3;RAD18;BIRC2;TRIM33;TRIM11,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Protein Modification Process (GO:0036211),66/711,0.037387276074976175,1.6412770153669158,13.49910942774121,SETD3;PTPRS;GMFG;JADE1;PLOD2;NAGPA;CDC14B;IKBKB;PPP1CC;STK11;PPP4R2;CHEK2;TLK2;TLK1;KAT7;BTRC;ILKAP;PPP1R12A;TBP;STRADA;FBXW11;DAPK2;STRADB;PPP2R5B;ALG3;ADAM10;VRK1;CSNK1D;PPP2R5C;JMJD7;ATG13;PRKAB1;ILF3;MELK;CREB1;PIGK;ATG4B;CSNK1G2;PPM1M;ROCK2;FUT10;PRKCZ;PORCN;IRAK1;MAP4K5;MARK3;MARK2;ST3GAL3;PAK4;PLK4;SRPK2;UBE2F;UVRAG;LIMK2;PTPN13;CDK11B;PTK2;HIPK2;CLK2;SSH1;BCKDK;ATG16L1;STK26;COQ8B;TAF2;MAP3K12,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Protein Phosphorylation (GO:0006468),50/500,0.037387276074976175,1.7762291908633372,14.604268943576246,ATF2;GMFG;IKBKB;STK11;CHEK2;STK16;TLK2;TLK1;ERC1;TBP;STRADA;DAPK2;STRADB;ADAM10;VRK1;CSNK1D;ATG13;PRKAB1;ILF3;MELK;CREB1;CSNK1G2;CAMK1G;USP15;CAB39;ROCK2;SRC;PRKCZ;IRAK1;MAP4K5;MARK3;MARK2;PAK4;PLK4;SRPK2;UVRAG;LIMK2;CLK4;CDK11B;PTK2;HIPK2;CLK2;BCKDK;CLK1;STK26;COQ8B;CDK12;FGFR2;TAF2;MAP3K12,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Regulation Of Cilium Assembly (GO:1902017),13/71,0.037387276074976175,3.545351374945439,29.14312489901982,USP6NL;ATG3;RABGAP1;TBC1D9B;LIMK2;CEP120;DYNLT2B;TCHP;CCDC88A;ODF2L;TBC1D14;ENTR1;TBC1D22A,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Golgi Organization (GO:0007030),19/130,0.037387276074976175,2.7136220189655305,22.291348921052993,USP6NL;PI4K2B;HACE1;ATP8B2;COG2;GCC2;CSNK1D;VRK1;TRAPPC8;TJAP1;GAK;SEC23IP;PDCD10;GOLGB1;DYM;TRIP11;TMED1;CLASP1;CLASP2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Vesicle-Mediated Transport (GO:0016192),43/411,0.037387276074976175,1.8649115377376246,15.312144567676583,USP6NL;RAB5C;TSG101;STX16;GOSR2;ITSN1;MIA3;PIK3C2A;CLINT1;RAB22A;AP3M1;CECR2;GOLGA4;HMGXB4;CPNE1;SNX9;ATP9B;EPS15;VPS16;UVRAG;EXOC6B;TSC2;SCRIB;CSNK1D;EPS15L1;RBSN;AP4B1;EPN1;EPN2;BIN3;HOOK2;BIN1;RAB34;DNAJC5;RAB13;OCIAD1;SPIRE1;VIPAS39;RIN3;EXOC5;VPS45;OSBPL1A;CSNK1G2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Endomembrane System Organization (GO:0010256),25/196,0.03774813446523435,2.322106060832673,18.907210900797097,USP6NL;PI4K2B;TOR1AIP2;MIA3;RAB22A;SMPD4;DYM;TMED1;DNM1L;CLASP1;SEC31A;PLEKHJ1;CLASP2;HACE1;ATP8B2;COG2;CSNK1D;TRAPPC8;PHETA1;TJAP1;GAK;SEC23IP;HOOK2;GOLGB1;TRIP11,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Histone Modification (GO:0016570),14/81,0.03774813446523435,3.3063987494957643,26.85128510507628,USP3;JADE1;MSL3;SIRT2;PHF20L1;MTA1;TADA2A;RUVBL2;MIER1;TADA3;KAT7;TBL1X;MTA3;KAT14,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
