go,symbol
GO:0000724,MCM8
GO:0000724,MCM9
GO:0000724,NABP1
GO:0000724,NABP2
GO:0000724,NSMCE1
GO:0000724,NSMCE2
GO:0000724,NSMCE3
GO:0000724,NSMCE4A
GO:0000724,PALB2
GO:0000724,PDS5B
GO:0000724,RAD51C
GO:0000724,RMI1
GO:0000724,RMI2
GO:0000724,RPA1
GO:0000724,RPA2
GO:0000724,RPA3
GO:0000724,SFR1
GO:0000724,SLF1
GO:0000724,SLF2
GO:0000724,SLX1A
GO:0000724,SLX1B
GO:0000724,SLX4
GO:0000724,SMC5
GO:0000724,SMC6
GO:0000724,SPIDR
GO:0000724,SWI5
GO:0000724,SWSAP1
GO:0000724,TOP3A
GO:0000724,XRCC3
GO:0000724,ZSWIM7
GO:0000725,XRCC5
GO:0000725,XRCC6
GO:0000729,MRE11
GO:0000729,MRE11A
GO:0000729,NBN
GO:0000729,RAD50
GO:0000731,RRM1
GO:0000731,RRM2B
GO:0000776,ACTB
GO:0000776,ACTL6A
GO:0000776,ACTL6B
GO:0000776,ARID2
GO:0000776,BRD7
GO:0000776,CHMP1A
GO:0000776,CHMP1B
GO:0000776,CHMP1B2
GO:0000776,CHMP2A
GO:0000776,CHMP2B
GO:0000776,CHMP3
GO:0000776,CHMP4A
GO:0000776,CHMP4B
GO:0000776,CHMP4C
GO:0000776,CHMP5
GO:0000776,CHMP6
GO:0000776,CHMP7
GO:0000776,DSN1
GO:0000776,KNL1
GO:0000776,MIS12
GO:0000776,NDC80
GO:0000776,NSL1
GO:0000776,NUF2
GO:0000776,PBRM1
GO:0000776,PHF10
GO:0000776,PMF1
GO:0000776,PMF1-BGLAP
GO:0000776,RNF103-CHMP3
GO:0000776,SKA1
GO:0000776,SKA2
GO:0000776,SKA3
GO:0000776,SMARCA4
GO:0000776,SMARCB1
GO:0000776,SMARCC1
GO:0000776,SMARCC2
GO:0000776,SMARCD1
GO:0000776,SMARCD2
GO:0000776,SMARCE1
GO:0000776,SPC24
GO:0000776,SPC25
GO:0000776,ZWINT
GO:0000781,EID3
GO:0000781,NSMCE1
GO:0000781,NSMCE2
GO:0000781,NSMCE3
GO:0000781,NSMCE4A
GO:0000781,SLF1
GO:0000781,SLF2
GO:0000781,SLX4
GO:0000781,SMC5
GO:0000781,SMC6
GO:0000781,TERF2
GO:0000785,ACTB
GO:0000785,ACTL6A
GO:0000785,ACTL6B
GO:0000785,ARID1A
GO:0000785,ARID1B
GO:0000785,ARID2
GO:0000785,AUTS2
GO:0000785,BCL7A
GO:0000785,BCL7B
GO:0000785,BCL7C
GO:0000785,BCOR
GO:0000785,BCORL1
GO:0000785,BICRA
GO:0000785,BICRAL
GO:0000785,BMI1
GO:0000785,BRD7
GO:0000785,BRD9
GO:0000785,CBX2
GO:0000785,CBX4
GO:0000785,CBX6
GO:0000785,CBX7
GO:0000785,CBX8
GO:0000785,CENPS
GO:0000785,CENPS-CORT
GO:0000785,CENPX
GO:0000785,CHAF1A
GO:0000785,CHAF1B
GO:0000785,DPF1
GO:0000785,DPF2
GO:0000785,DPF3
GO:0000785,FAAP100
GO:0000785,FAAP20
GO:0000785,FAAP24
GO:0000785,FANCA
GO:0000785,FANCB
GO:0000785,FANCC
GO:0000785,FANCD2
GO:0000785,FANCE
GO:0000785,FANCF
GO:0000785,FANCG
GO:0000785,FANCI
GO:0000785,FANCL
GO:0000785,FANCM
GO:0000785,KDM2B
GO:0000785,L3MBTL2
GO:0000785,MAD2L2
GO:0000785,PBRM1
GO:0000785,PCGF1
GO:0000785,PCGF2
GO:0000785,PCGF3
GO:0000785,PCGF5
GO:0000785,PCGF6
GO:0000785,PHC1
GO:0000785,PHC2
GO:0000785,PHC3
GO:0000785,PHF10
GO:0000785,PPP4C
GO:0000785,PPP4R2
GO:0000785,PPP4R3B
GO:0000785,RBBP4
GO:0000785,RING1
GO:0000785,RNF2
GO:0000785,RYBP
GO:0000785,SHLD1
GO:0000785,SHLD2
GO:0000785,SHLD3
GO:0000785,SKP1
GO:0000785,SMARCA2
GO:0000785,SMARCA4
GO:0000785,SMARCB1
GO:0000785,SMARCC1
GO:0000785,SMARCC2
GO:0000785,SMARCD1
GO:0000785,SMARCD2
GO:0000785,SMARCD3
GO:0000785,SMARCE1
GO:0000785,SS18
GO:0000785,YAF2
GO:0000786,ACTB
GO:0000786,ACTL6A
GO:0000786,ACTR6
GO:0000786,BRD8
GO:0000786,DMAP1
GO:0000786,EP400
GO:0000786,EPC1
GO:0000786,EPC2
GO:0000786,H2AC11
GO:0000786,H2AC13
GO:0000786,H2AC15
GO:0000786,H2AC16
GO:0000786,H2AC17
GO:0000786,H2AC22
GO:0000786,H2AC23
GO:0000786,H2AC24
GO:0000786,H2AC4
GO:0000786,H2AC6
GO:0000786,H2AC7
GO:0000786,H2AC8
GO:0000786,H2AZ1
GO:0000786,H2AZ2
GO:0000786,H2BC11
GO:0000786,H2BC12
GO:0000786,H2BC13
GO:0000786,H2BC15
GO:0000786,H2BC23
GO:0000786,H2BC24
GO:0000786,H2BC7
GO:0000786,H3-4
GO:0000786,H3C1
GO:0000786,H3C10
GO:0000786,H3C11
GO:0000786,H3C12
GO:0000786,H3C13
GO:0000786,H3C14
GO:0000786,H3C15
GO:0000786,H3C2
GO:0000786,H3C3
GO:0000786,H3C4
GO:0000786,H3C6
GO:0000786,H3C7
GO:0000786,H3C8
GO:0000786,H4C1
GO:0000786,H4C11
GO:0000786,H4C12
GO:0000786,H4C13
GO:0000786,H4C14
GO:0000786,H4C15
GO:0000786,H4C16
GO:0000786,H4C17
GO:0000786,H4C18
GO:0000786,H4C2
GO:0000786,H4C3
